city,patient_count
Hamilton,1938
Toronto,317
Burlington,276
Brantford,147
Ancaster,117
Stoney Creek,107
Cambridge,79
Dundas,79
Milton,65
Paris,58
Grimsby,55
Timmins,53
Ottawa,51
Halifax,50
Oakville,44
Sarnia,43
Fruitland,42
Barrie,39
Delhi,37
St. Catharines,35
Walnut Grove,34
Windsor,34
Dunton,32
Pickering,32
Simcoe,31
Waterford,30
Red River,29
Brampton,28
Kingston,26
Brockville,23
Calgary,23
Orangeville,23
Beamsville,22
Victoria,21
Carlisle,20
Montreal,20
Mississauga,19
Thunder Bay,19
Guelph,18
Peterborough,18
Hepworth,17
London,17
Caledonia,16
Kelowna,16
Bancroft,15
Niagara Falls,15
Troy,15
Beaverton,14
Carisle,14
Orillia,14
Smithville,14
Whitby,14
Saskatoon,13
Ajax,12
Vancouver,12
Elmira,10
Athens,9
North York,9
Port Dover,9
St. Johns,9
Dunnville,8
Marcam,8
Selkirk,8
Kapuskasing,7
Milgrove,7
Tyndale,7
Highland,6
Misty,6
Port Hawkesbury,6
Edmonton,5
Northbay,5
Odessa,5
Cayuga,4
Elmwood,4
Fonthill,4
Inverness,4
Bartonville,3
Chicoutimi,3
Hargersville,3
Newmarket,3
Oshawa,3
Waterloo,3
Winona,3
Brandon,2
Georgetown,2
Red Deer,2
Scarborough,2
Stainer,2
Tuscorora,2
Unionville,2
Linton,1
Rockford,1
Ureterburg,1
